a;b;;;;
3559,302;40,9844;;;;
3559,4544;40,7553;;;;
3559,6068;40,7251;;;;
3559,7592;41,2498;;;;
3559,9116;42,006;;;;
3560,064;42,1714;;;;
3560,2164;42,0604;;;;
3560,3688;41,6642;;;;
3560,5212;41,0538;;;;
3560,6736;40,5644;;;;
3560,826;40,5821;;;;
3560,9784;41,0969;;;;
3561,1308;41,7703;;;;
3561,2832;42,1959;;;;
3561,4356;42,1767;;;;
3561,588;42,2529;;;;
3561,7404;42,0778;;;;
3561,8928;41,7763;;;;
3562,0452;41,7399;;;;
3562,1976;41,5999;;;;
3562,35;41,9637;;;;
3562,5024;42,3945;;;;
3562,6548;42,2406;;;;
3562,8072;41,7381;;;;
3562,9596;40,6375;;;;
3563,112;40,0097;;;;
3563,2644;39,932;;;;
3563,4168;40,0801;;;;
3563,5692;40,1009;;;;
3563,7216;40,5921;;;;
3563,874;40,5234;;;;
3564,0264;40,3701;;;;
3564,1788;39,894;;;;
3564,3312;39,2973;;;;
3564,4836;38,3574;;;;
3564,636;38,3087;;;;
3564,7884;37,8234;;;;
3564,9408;37,7515;;;;
3565,0932;37,6351;;;;
3565,2456;37,8308;;;;
3565,398;37,8601;;;;
3565,5504;37,4299;;;;
3565,7028;36,5631;;;;
3565,8552;35,4729;;;;
3566,0076;35,0941;;;;
3566,16;35,2679;;;;
3566,3124;35,7583;;;;
3566,4648;36,8468;;;;
3566,6172;37,1386;;;;
3566,7696;37,3426;;;;
3566,922;37,0408;;;;
3567,0744;36,593;;;;
3567,2268;34,8118;;;;
3567,3792;32,1331;;;;
3567,5316;29,9793;;;;
3567,684;28,1404;;;;
3567,8364;25,7458;;;;
3567,9888;26,7801;;;;
3568,1412;25,622;;;;
3568,2936;25,8447;;;;
3568,446;28,5533;;;;
3568,5984;31,7263;;;;
3568,7508;30,865;;;;
3568,9032;34,8117;;;;
3569,0556;35,7598;;;;
3569,208;35,6906;;;;
3569,3604;34,8177;;;;
3569,5128;33,3482;;;;
3569,6652;32,0832;;;;
3569,8176;31,9036;;;;
3569,97;31,7976;;;;
3570,1224;32,142;;;;
3570,2748;31,9617;;;;
3570,4272;31,4937;;;;
3570,5796;31,292;;;;
3570,732;30,8562;;;;
3570,8844;30,6916;;;;
3571,0368;30,615;;;;
3571,1892;30,5438;;;;
3571,3416;29,9545;;;;
3571,494;29,5304;;;;
3571,6464;29,2794;;;;
3571,7988;29,5206;;;;
3571,9512;29,6097;;;;
3572,1036;29,4488;;;;
3572,256;29,2735;;;;
3572,4084;29,3108;;;;
3572,5608;29,2927;;;;
3572,7132;29,2471;;;;
3572,8656;28,8442;;;;
3573,018;29,162;;;;
3573,1704;29,9275;;;;
3573,3228;30,2704;;;;
3573,4752;30,1566;;;;
3573,6276;29,97;;;;
3573,78;30,0267;;;;
3573,9324;29,6066;;;;
3574,0848;29,7099;;;;
3574,2372;30,4397;;;;
3574,3896;30,3112;;;;
3574,542;29,7404;;;;
3574,6944;29,6917;;;;
3574,8468;30,062;;;;
3574,9992;29,9574;;;;
3575,1516;29,4925;;;;
3575,304;29,425;;;;
3575,4564;29,3535;;;;
3575,6088;29,157;;;;
3575,7612;28,5697;;;;
3575,9136;28,4331;;;;
3576,066;28,7265;;;;
3576,2184;28,8288;;;;
3576,3708;28,6499;;;;
3576,5232;28,2125;;;;
3576,6756;27,2852;;;;
3576,828;26,4321;;;;
3576,9804;25,617;;;;
3577,1328;24,9205;;;;
3577,2852;24,7777;;;;
3577,4376;24,7947;;;;
3577,59;25,4376;;;;
3577,7424;26,043;;;;
3577,8948;26,6547;;;;
3578,0472;27,0673;;;;
3578,1996;27,2842;;;;
3578,352;28,2646;;;;
3578,5044;29,4003;;;;
3578,6568;29,9141;;;;
3578,8092;29,968;;;;
3578,9616;30,0221;;;;
3579,114;30,0478;;;;
3579,2664;29,9285;;;;
3579,4188;29,4522;;;;
3579,5712;29,0787;;;;
3579,7236;28,4336;;;;
3579,876;27,5598;;;;
3580,0284;27,0911;;;;
3580,1808;27,7422;;;;
3580,3332;28,2153;;;;
3580,4856;26,5236;;;;
3580,638;24,8687;;;;
3580,7904;22,3763;;;;
3580,9428;23,1612;;;;
3581,0952;21,6362;;;;
3581,2476;21,4957;;;;
3581,4;22,2671;;;;
3581,5524;24,7169;;;;
3581,7048;25,4417;;;;
3581,8572;24,9131;;;;
3582,0096;26,2571;;;;
3582,162;27,3324;;;;
3582,3144;27,3497;;;;
3582,4668;27,3957;;;;
3582,6192;27,4518;;;;
3582,7716;27,4143;;;;
3582,924;27,4746;;;;
3583,0764;27,4472;;;;
3583,2288;27,3542;;;;
3583,3812;27,5065;;;;
3583,5336;27,5103;;;;
3583,686;27,2948;;;;
3583,8384;27,0495;;;;
3583,9908;26,7601;;;;
3584,1432;26,788;;;;
3584,2956;27,2334;;;;
3584,448;27,5703;;;;
3584,6004;27,7897;;;;
3584,7528;27,8539;;;;
3584,9052;28,0179;;;;
3585,0576;28,3007;;;;
3585,21;28,3141;;;;
3585,3624;28,4682;;;;
3585,5148;28,3188;;;;
3585,6672;28,4305;;;;
3585,8196;28,6371;;;;
3585,972;28,343;;;;
3586,1244;27,8354;;;;
3586,2768;27,1798;;;;
3586,4292;26,7296;;;;
3586,5816;26,5597;;;;
3586,734;26,7702;;;;
3586,8864;27,0411;;;;
3587,0388;27,4705;;;;
3587,1912;27,9985;;;;
3587,3436;28,0574;;;;
3587,496;27,6154;;;;
3587,6484;27,0311;;;;
3587,8008;26,8286;;;;
3587,9532;26,4948;;;;
3588,1056;26,2281;;;;
3588,258;25,8999;;;;
3588,4104;25,7518;;;;
3588,5628;25,5865;;;;
3588,7152;25,4967;;;;
3588,8676;25,6424;;;;
3589,02;25,5736;;;;
3589,1724;25,153;;;;
3589,3248;25,234;;;;
3589,4772;26,0622;;;;
3589,6296;26,6931;;;;
3589,782;26,7172;;;;
3589,9344;26,8328;;;;
3590,0868;27,2225;;;;
3590,2392;27,5372;;;;
3590,3916;27,8952;;;;
3590,544;28,1957;;;;
3590,6964;28,2881;;;;
3590,8488;28,0497;;;;
3591,0012;27,8075;;;;
3591,1536;27,7428;;;;
3591,306;27,4988;;;;
3591,4584;26,7942;;;;
3591,6108;26,0084;;;;
3591,7632;25,6122;;;;
3591,9156;25,5794;;;;
3592,068;25,7911;;;;
3592,2204;25,3534;;;;
3592,3728;25,0587;;;;
3592,5252;24,741;;;;
3592,6776;24,3064;;;;
3592,83;23,4389;;;;
3592,9824;23,3229;;;;
3593,1348;23,36;;;;
3593,2872;22,4795;;;;
3593,4396;21,1817;;;;
3593,592;21,6081;;;;
3593,7444;21,394;;;;
3593,8968;20,1336;;;;
3594,0492;21,2996;;;;
3594,2016;21,4298;;;;
3594,354;21,3205;;;;
3594,5064;22,8215;;;;
3594,6588;24,2269;;;;
3594,8112;24,1331;;;;
3594,9636;24,024;;;;
3595,116;24,9036;;;;
3595,2684;24,5234;;;;
3595,4208;24,1412;;;;
3595,5732;23,6347;;;;
3595,7256;23,2335;;;;
3595,878;23,0116;;;;
3596,0304;22,9251;;;;
3596,1828;22,985;;;;
3596,3352;22,8935;;;;
3596,4876;22,9223;;;;
3596,64;22,9836;;;;
3596,7924;22,9128;;;;
3596,9448;22,8191;;;;
3597,0972;22,6539;;;;
3597,2496;22,4035;;;;
3597,402;22,3415;;;;
3597,5544;22,4491;;;;
3597,7068;22,6865;;;;
3597,8592;22,5498;;;;
3598,0116;22,8089;;;;
3598,164;23,4307;;;;
3598,3164;23,8991;;;;
3598,4688;23,9633;;;;
3598,6212;24,3321;;;;
3598,7736;24,828;;;;
3598,926;24,8612;;;;
3599,0784;24,7782;;;;
3599,2308;24,9273;;;;
3599,3832;24,5501;;;;
3599,5356;24,2111;;;;
3599,688;23,7824;;;;
3599,8404;23,5963;;;;
3599,9928;23,2613;;;;
3600,1452;23,0523;;;;
3600,2976;22,7955;;;;
3600,45;22,7652;;;;
3600,6024;22,6048;;;;
3600,7548;22,5847;;;;
3600,9072;22,5442;;;;
3601,0596;22,4554;;;;
3601,212;22,2893;;;;
3601,3644;21,816;;;;
3601,5168;21,4171;;;;
3601,6692;20,7508;;;;
3601,8216;20,0744;;;;
3601,974;19,5635;;;;
3602,1264;19,6824;;;;
3602,2788;19,8697;;;;
3602,4312;19,9246;;;;
3602,5836;19,6205;;;;
3602,736;19,5067;;;;
3602,8884;19,5148;;;;
3603,0408;19,3773;;;;
3603,1932;19,0377;;;;
3603,3456;19,04;;;;
3603,498;19,1814;;;;
3603,6504;19,3091;;;;
3603,8028;19,2932;;;;
3603,9552;18,9528;;;;
3604,1076;18,6352;;;;
3604,26;18,4449;;;;
3604,4124;18,6588;;;;
3604,5648;19,0695;;;;
3604,7172;18,9978;;;;
3604,8696;18,8883;;;;
3605,022;18,6955;;;;
3605,1744;18,7089;;;;
3605,3268;18,306;;;;
3605,4792;17,7553;;;;
3605,6316;17,5182;;;;
3605,784;17,677;;;;
3605,9364;17,7914;;;;
3606,0888;17,6774;;;;
3606,2412;17,8754;;;;
3606,3936;18,2299;;;;
3606,546;18,0886;;;;
3606,6984;16,4272;;;;
3606,8508;16,444;;;;
3607,0032;15,9015;;;;
3607,1556;16,1517;;;;
3607,308;16,1743;;;;
3607,4604;17,2014;;;;
3607,6128;19,5488;;;;
3607,7652;19,9063;;;;
3607,9176;22,9698;;;;
3608,07;21,6971;;;;
3608,2224;22,2106;;;;
3608,3748;21,2588;;;;
3608,5272;20,5651;;;;
3608,6796;20,4043;;;;
3608,832;20,0786;;;;
3608,9844;19,5592;;;;
3609,1368;19,247;;;;
3609,2892;19,3936;;;;
3609,4416;19,4507;;;;
3609,594;19,3422;;;;
3609,7464;19,1273;;;;
3609,8988;19,2774;;;;
3610,0512;19,4386;;;;
3610,2036;19,5752;;;;
3610,356;19,4087;;;;
3610,5084;19,1959;;;;
3610,6608;19,0983;;;;
3610,8132;18,9393;;;;
3610,9656;18,4079;;;;
3611,118;17,7833;;;;
3611,2704;17,4935;;;;
3611,4228;17,9691;;;;
3611,5752;18,3086;;;;
3611,7276;18,5457;;;;
3611,88;18,8312;;;;
3612,0324;19,2588;;;;
3612,1848;19,5076;;;;
3612,3372;19,2576;;;;
3612,4896;18,7577;;;;
3612,642;18,8496;;;;
3612,7944;19,2055;;;;
3612,9468;18,931;;;;
3613,0992;18,4808;;;;
3613,2516;18,7838;;;;
3613,404;19,4339;;;;
3613,5564;19,8121;;;;
3613,7088;19,7635;;;;
3613,8612;19,7132;;;;
3614,0136;19,4592;;;;
3614,166;19,4353;;;;
3614,3184;19,315;;;;
3614,4708;19,0418;;;;
3614,6232;18,5611;;;;
3614,7756;18,3592;;;;
3614,928;18,5408;;;;
3615,0804;18,6344;;;;
3615,2328;18,4426;;;;
3615,3852;18,2701;;;;
3615,5376;18,5764;;;;
3615,69;18,9007;;;;
3615,8424;18,6552;;;;
3615,9948;18,3386;;;;
3616,1472;18,3611;;;;
3616,2996;18,5719;;;;
3616,452;18,7236;;;;
3616,6044;18,6103;;;;
3616,7568;18,195;;;;
3616,9092;18,0597;;;;
3617,0616;18,323;;;;
3617,214;18,6837;;;;
3617,3664;18,6621;;;;
3617,5188;18,3588;;;;
3617,6712;18,0164;;;;
3617,8236;17,7092;;;;
3617,976;17,341;;;;
3618,1284;17,3869;;;;
3618,2808;17,6071;;;;
3618,4332;17,8729;;;;
3618,5856;18,5007;;;;
3618,738;18,7621;;;;
3618,8904;18,9055;;;;
3619,0428;19,0029;;;;
3619,1952;19,165;;;;
3619,3476;18,8484;;;;
3619,5;18,5831;;;;
3619,6524;18,098;;;;
